450,total,1999,15759421,Florida
451,under18,1999,3611711,Florida
452,total,2000,16047515,Florida
453,under18,2000,3654880,Florida
454,total,2001,16356966,Florida
455,under18,2001,3714439,Florida
456,total,2002,16689370,Florida
457,under18,2002,3774624,Florida
458,total,2003,17004085,Florida
459,under18,2003,3820876,Florida
460,total,2004,17415318,Florida
461,under18,2004,3890734,Florida
462,total,2005,17842038,Florida
463,under18,2005,3968178,Florida
464,total,2006,18166990,Florida
465,under18,2006,4022912,Florida
466,total,2007,18367842,Florida
467,under18,2007,4031098,Florida
468,total,2008,18527305,Florida
469,under18,2008,4018372,Florida
470,total,2009,18652644,Florida
471,under18,2009,3997283,Florida
472,under18,2013,4026674,Florida
473,total,2013,19552860,Florida
474,under18,2010,3999532,Florida
475,total,2010,18846054,Florida
476,under18,2011,4002550,Florida
477,total,2011,19083482,Florida
478,under18,2012,4012421,Florida
479,total,2012,19320749,Florida
480,total,2012,9915646,Georgia
481,under18,2012,2487831,Georgia
482,under18,2011,2488898,Georgia
483,total,2011,9810181,Georgia
